unit procedure,sampling point,parameter name,parameter detail,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,LAL,UAL,LCL,UCL,lrl,ucl.1,cl,nel1,nel2,nel3,nel4,ppk,rep,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation,spec status,ctrl status
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000438,10319110,10319110,1/20/2017 0:00,1/17/2017 0:00,1/20/2017 0:00,.,206.1,1.0305,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000436,10309189,10309189,10/10/2016 0:00,10/10/2016 0:00,10/10/2016 0:00,.,203.5,1.0175,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000674,10309190,10309190,10/17/2016 0:00,10/17/2016 0:00,10/17/2016 0:00,.,490.9,0.9818,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000436,10311705,10311705,10/24/2016 0:00,10/24/2016 0:00,10/24/2016 0:00,.,193.8,0.9690000000000001,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000438,10309193,10309193,10/25/2016 0:00,10/25/2016 0:00,10/25/2016 0:00,.,199.2,0.996,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000433,10310630,10310630,10/31/2016 0:00,10/31/2016 0:00,10/31/2016 0:00,.,537.2,1.0744,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000674,10310634,10310634,10/31/2016 0:00,10/31/2016 0:00,10/31/2016 0:00,.,476.8,0.9536,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000444,10313144,10313144,11/14/2016 0:00,11/14/2016 0:00,11/14/2016 0:00,.,97.2,0.972,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000444,10313710,10313710,11/30/2016 0:00,11/30/2016 0:00,11/30/2016 0:00,.,112.2,1.122,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000439,10312160,10312160,11/9/2016 0:00,11/9/2016 0:00,11/9/2016 0:00,.,210.8,1.054,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000436,10314067,10314067,12/1/2016 0:00,12/1/2016 0:00,12/1/2016 0:00,.,193.9,0.9695,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000436,10314065,10314065,12/6/2016 0:00,12/6/2016 0:00,12/6/2016 0:00,.,204.6,1.023,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000433,10314071,10314071,12/6/2016 0:00,12/6/2016 0:00,12/6/2016 0:00,.,536.9,1.0738,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000444,10314062,10314062,12/7/2016 0:00,12/7/2016 0:00,12/7/2016 0:00,.,100,1.0,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000674,10321902,10321902,2/16/2017 0:00,2/16/2017 0:00,2/16/2017 0:00,.,544.3,1.0886,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000439,10321860,10321860,2/21/2017 0:00,2/21/2017 0:00,2/21/2017 0:00,.,192.4,0.9620000000000001,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000439,10321891,10321891,2/22/2017 0:00,2/22/2017 0:00,2/22/2017 0:00,.,193.5,0.9675,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000674,10325390,10325390,3/16/2017 0:00,3/16/2017 0:00,3/16/2017 0:00,.,452.2,0.9044,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000433,10324448,10324448,3/2/2017 0:00,3/2/2017 0:00,3/2/2017 0:00,.,524.9,1.0498,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000452,10329367,10329367,3/21/2017 0:00,3/21/2017 0:00,3/21/2017 0:00,.,27.4,1.0959999999999999,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000436,10324441,10324441,3/7/2017 0:00,3/7/2017 0:00,3/7/2017 0:00,.,193.4,0.9670000000000001,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000444,10322069,10322069,3/8/2017 0:00,3/8/2017 0:00,3/8/2017 0:00,.,108.4,1.084,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000449,10328100,10328100,4/6/2017 0:00,4/5/2017 0:00,4/6/2017 0:00,.,44.7,1.1175,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000444,10349158,10349158,8/23/2017 0:00,8/23/2017 0:00,8/23/2017 0:00,.,99.5,0.995,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
PRJU:APR1-DP-ADL,.,Immunoassay,PRDS-000436,10344569,10344569,8/9/2017 0:00,8/9/2017 0:00,8/9/2017 0:00,.,205.1,1.0255,ug/mL,0.8,1.2,0.86,1.14,.,.,1,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,0
